Ref,Val,Package,PosX,PosY,Rot,Side
"C11","330pf","C_0402_1005Metric",69.900000,-46.000000,0.000000,top
"D5","1N5819WS","D_SOD-323",67.900000,-44.900000,90.000000,top
"D6","1N5819WS","D_SOD-323",67.900000,-41.400000,-90.000000,top
"PWR","LED","LED_0603_1608Metric",69.800000,-39.000000,-90.000000,top
"R1","470","R_0402_1005Metric",68.000000,-53.500000,0.000000,top
"R2","470","R_0402_1005Metric",68.100000,-67.100000,0.000000,top
"R3","470","R_0402_1005Metric",67.900000,-80.800000,0.000000,top
"R5","470","R_0402_1005Metric",67.900000,-39.100000,180.000000,top
"R12","10K","R_0402_1005Metric",67.900000,-38.000000,180.000000,top
"R15","1K","R_0402_1005Metric",76.400000,-51.200000,90.000000,top
