Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"SW3,SW2",EG1249,2,SW_SPDT-EG1249,
2,"IC5,IC4,IC3",DIP794W53P254L1930H508Q16N,3,CD4510BE,
3,"IC2,IC1",DIP794W53P254L1930H508Q16N,2,CD4033BE,
4,"C5,C4,C6,C2,C3",C_0402_1005Metric,5,100nf,C1525
5,"R9,R10,R17,R20,R4,R14,R2,R11,R3,R8,R16,R18,R6,R19,R7,R13,R1",R_0402_1005Metric,17,10K,C25744
6,SW1,ThonkLowProfileButton,1,SW_Push_LED_Thonk_Low_Profile,
7,J1,EighthInch_PJ398SM,1,3.5mm_Mono_Switched,
8,"DS-ONES1,DS-TENS1",TDSR0760,2,TDSR0760,
9,R5,R_0402_1005Metric,1,470,C25792
10,"D5,D3,D1,D4",D_SOD-323,4,1N5819WS,C191023
11,"Q2,Q3,Q1",SOT-89-3,3,2N3904,C9634
12,"R15,R12",R_0402_1005Metric,2,2K,C4109
13,C11,C_0402_1005Metric,1,330pf,C13533
14,D2,LED_0603_1608Metric,1,LED,C2290
15,REF**,TestPoint_WireHole,1,ClockBar,
16,Ref**,16WindsLogo-96,1,Val**,
17,REF**,TestPoint_WireHole,1,Reset,
18,J2,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
19,REF**,TestPoint_WireHole,1,ClockIn,
20,C1,CP_Radial_D5.0mm_P2.00mm,1,47uf,
