Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nf,C_0402_1005Metric,62,-99.5,-90,top
C3,100nf,C_0402_1005Metric,78,-107,180,top
C4,100nf,C_0402_1005Metric,61,-107,180,top
C5,100nf,C_0402_1005Metric,64.02,-73,180,top
C6,100nf,C_0402_1005Metric,74.98,-73,180,top
C11,330pf,C_0402_1005Metric,72.5,-49.5,0,top
D1,1N5819WS,D_SOD-323,68.5,-49.25,180,top
D2,LED,LED_0603_1608Metric,68.5,-36.5,0,top
D3,1N5819WS,D_SOD-323,77.5,-104,180,top
D4,1N5819WS,D_SOD-323,82,-104,0,top
D5,1N5819WS,D_SOD-323,77.75,-58.25,90,top
Q1,2N3904,SOT-89-3,59.75,-61.25,180,top
Q2,2N3904,SOT-89-3,81.5625,-60.5,0,top
Q3,2N3904,SOT-89-3,67.25,-61.25,180,top
R1,10K,R_0402_1005Metric,80.99,-109.5,180,top
R2,10K,R_0402_1005Metric,78,-109.5,180,top
R3,10K,R_0402_1005Metric,64,-109.5,180,top
R4,10K,R_0402_1005Metric,61,-109.5,180,top
R5,470,R_0402_1005Metric,64.25,-49.5,180,top
R6,10K,R_0402_1005Metric,79.5,-99,-90,top
R7,10K,R_0402_1005Metric,64,-90.5,0,top
R8,10K,R_0402_1005Metric,64,-88,0,top
R9,10K,R_0402_1005Metric,75,-90.5,0,top
R10,10K,R_0402_1005Metric,75,-88,0,top
R11,10K,R_0402_1005Metric,77,-63.25,180,top
R12,2K,R_0402_1005Metric,68,-38,180,top
R13,10K,R_0402_1005Metric,62,-95.5,90,top
R14,10K,R_0402_1005Metric,77,-62,180,top
R15,2K,R_0402_1005Metric,75,-49.5,0,top
R16,10K,R_0402_1005Metric,63.5,-58.25,0,top
R17,10K,R_0402_1005Metric,63.51,-59.75,0,top
R18,10K,R_0402_1005Metric,77,-99,-90,top
R19,10K,R_0402_1005Metric,63.75,-63,180,top
R20,10K,R_0402_1005Metric,71.5,-59.75,0,top
