"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C5,C4,C6,C2,C3";"C_0402_1005Metric";5;"100nf";;;
2;"R9,R22,R10,R17,R20,R4,R14,R2,R11,R3,R8,R16,R18,R6,R21,R19,R7,R13,R1";"R_0402_1005Metric";19;"10K";;;
3;"SW2,SW3";"EG1249";2;"SW_SPDT-EG1249";;;
4;"SW1";"ThonkLowProfileButton";1;"SW_Push_LED_Thonk_Low_Profile";;;
5;"J1";"EighthInch_PJ398SM";1;"3.5mm_Mono_Switched";;;
6;"DS-ONES1,DS-TENS1";"TDSR0760";2;"TDSR0760";;;
7;"R5,R23";"R_0402_1005Metric";2;"470";;;
8;"D5,D3,D6,D1,D4";"D_SOD-323";5;"1N5819WS";;;
9;"Q2,Q5,Q3,Q1,Q4";"TO-92_Inline";5;"2N3904";;;
10;"R15,R12";"R_0402_1005Metric";2;"2K";;;
11;"C11";"C_0402_1005Metric";1;"330pf";;;
12;"D2";"LED_0603_1608Metric";1;"LED";;;
13;"REF**";"TestPoint_WireHole";1;"ClockBar";;;
14;"IC3,IC5,IC4";"DIP794W53P254L1930H508Q16N";3;"CD4510BE";;;
15;"IC1,IC2";"DIP794W53P254L1930H508Q16N";2;"CD4033BE";;;
16;"Ref**";"16WindsLogo-96";1;"Val**";;;
17;"REF**";"TestPoint_WireHole";1;"Reset";;;
18;"J2";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
19;"REF**";"TestPoint_WireHole";1;"ClockIn";;;
20;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"47uf";;;
