Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nf","C_0402_1005Metric",62.000000,-99.500000,-90.000000,top
"C3","100nf","C_0402_1005Metric",78.000000,-107.000000,180.000000,top
"C4","100nf","C_0402_1005Metric",61.000000,-107.000000,180.000000,top
"C5","100nf","C_0402_1005Metric",64.020000,-73.000000,180.000000,top
"C6","100nf","C_0402_1005Metric",74.980000,-73.000000,180.000000,top
"C11","330pf","C_0402_1005Metric",72.500000,-49.500000,0.000000,top
"D1","1N5819WS","D_SOD-323",68.500000,-49.250000,180.000000,top
"D2","LED","LED_0603_1608Metric",68.500000,-37.700000,0.000000,top
"D3","1N5819WS","D_SOD-323",77.500000,-104.000000,180.000000,top
"D4","1N5819WS","D_SOD-323",82.000000,-104.000000,0.000000,top
"D5","1N5819WS","D_SOD-323",77.750000,-58.250000,90.000000,top
"D6","1N5819WS","D_SOD-323",80.300000,-58.200000,90.000000,top
"R1","10K","R_0402_1005Metric",80.990000,-109.500000,180.000000,top
"R2","10K","R_0402_1005Metric",78.000000,-109.500000,180.000000,top
"R3","10K","R_0402_1005Metric",64.000000,-109.500000,180.000000,top
"R4","10K","R_0402_1005Metric",61.000000,-109.500000,180.000000,top
"R5","470","R_0402_1005Metric",64.250000,-49.500000,180.000000,top
"R6","10K","R_0402_1005Metric",79.500000,-99.000000,-90.000000,top
"R7","10K","R_0402_1005Metric",64.000000,-90.500000,0.000000,top
"R8","10K","R_0402_1005Metric",64.000000,-88.000000,0.000000,top
"R9","10K","R_0402_1005Metric",75.000000,-90.500000,0.000000,top
"R10","10K","R_0402_1005Metric",75.000000,-88.000000,0.000000,top
"R11","10K","R_0402_1005Metric",83.300000,-58.400000,180.000000,top
"R12","2K","R_0402_1005Metric",68.300000,-39.600000,180.000000,top
"R13","10K","R_0402_1005Metric",62.000000,-95.500000,90.000000,top
"R14","10K","R_0402_1005Metric",82.200000,-57.100000,0.000000,top
"R15","2K","R_0402_1005Metric",75.000000,-49.500000,0.000000,top
"R16","10K","R_0402_1005Metric",59.400000,-57.600000,180.000000,top
"R17","10K","R_0402_1005Metric",61.800000,-57.700000,0.000000,top
"R18","10K","R_0402_1005Metric",77.000000,-99.000000,-90.000000,top
"R19","10K","R_0402_1005Metric",63.900000,-64.400000,180.000000,top
"R20","10K","R_0402_1005Metric",71.500000,-59.750000,0.000000,top
"R21","10K","R_0402_1005Metric",70.890000,-65.300000,0.000000,top
"R22","10K","R_0402_1005Metric",58.300000,-65.400000,180.000000,top
"R23","470","R_0402_1005Metric",58.300000,-70.200000,0.000000,top
