"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"TestPoint_Pad_06";1;"Clock";;;
2;"REF**";"TestPoint_Pad_06";1;"Reset";;;
3;"REF**";"TestPoint_Pad_06";1;"ClockBar";;;
4;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
5;"D4,D3,D1";"LED_D3.0mm";3;"LED";;;
6;"SW1";"ThonkLowProfileButton";1;"SW_Push_LED_Thonk_Low_Profile";;;
7;"J1,J5,J6,J4";"EighthInch_PJ398SM";4;"3.5mm_Mono_Switched";;;
8;"R5";"R_0402_1005Metric";1;"470";;;
9;"D6,D5";"D_SOD-323";2;"1N5819WS";;;
10;"R3,R2,R1,R12";"R_0402_1005Metric";4;"10K";;;
11;"S1";"SLB1570";1;"SLB1570";;;
12;"R15";"R_0402_1005Metric";1;"2K";;;
13;"C11";"C_0402_1005Metric";1;"330pf";;;
14;"SW3";"EG1249";1;"SW_SPDT-EG1249";;;
15;"D2";"LED_0603_1608Metric";1;"LED";;;
16;"J3";"Pins_1x04_2.54mm_TH_SWD";1;"SevenSegment";;;
17;"Ref**";"16WindsLogo-96";1;"Val**";;;
18;"J2";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
19;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"47uf";;;
