Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uf","C_Radial_D5.0mm_H11.0mm_P2.00mm",-72.000000,-46.000000,-90.000000,bottom
"C2","100nf","C_0402_1005Metric",-63.000000,-94.000000,0.000000,bottom
"C3","100nf","C_0402_1005Metric",-59.600000,-94.000000,180.000000,bottom
"C4","100nf","C_0402_1005Metric",-73.480000,-95.000000,180.000000,bottom
"D1","1N4148","D_SOD-323",-60.000000,-52.650000,180.000000,bottom
"D2","LED","LED_D3.0mm",-72.898000,-53.086000,180.000000,bottom
"IC1","CD4033BE","DIP794W53P254L1930H508Q16N",-77.530000,-106.350000,180.000000,bottom
"IC2","CD4033BE","DIP794W53P254L1930H508Q16N",-63.530000,-106.350000,180.000000,bottom
"IC3","CD4510BE","DIP794W53P254L1930H508Q16N",-70.000000,-87.500000,-90.000000,bottom
"J2","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",-81.019600,-41.275000,90.000000,bottom
"Q1","2N3904","TO-92_Inline",-74.940000,-58.230000,-90.000000,bottom
"Q2","2N3904","TO-92_Inline",-65.220000,-58.230000,-90.000000,bottom
"Q3","2N3904","TO-92_Inline",-74.940000,-65.480000,-90.000000,bottom
"Q4","2N3904","TO-92_Inline",-74.720000,-72.730000,-90.000000,bottom
"Q5","2N3904","TO-92_Inline",-65.360000,-65.480000,-90.000000,bottom
"Q6","2N3904","TO-92_Inline",-65.140000,-72.730000,-90.000000,bottom
"R1","10K","R_0402_1005Metric",-80.518000,-94.500000,180.000000,bottom
"R2","10K","R_0402_1005Metric",-70.500000,-106.190000,180.000000,bottom
"R3","10K","R_0402_1005Metric",-70.400000,-101.500000,0.000000,bottom
"R4","10K","R_0402_1005Metric",-70.300000,-98.600000,180.000000,bottom
"R5","47K","R_0402_1005Metric",-64.500000,-52.500000,180.000000,bottom
"R6","10K","R_0402_1005Metric",-78.232000,-94.500000,180.000000,bottom
"R7","10K","R_0402_1005Metric",-61.360000,-57.500000,180.000000,bottom
"R8","10k","R_0402_1005Metric",-79.720000,-61.500000,180.000000,bottom
"R9","10K","R_0402_1005Metric",-75.500000,-81.000000,0.000000,bottom
"R10","10K","R_0402_1005Metric",-79.720000,-68.000000,180.000000,bottom
"R11","10K","R_0402_1005Metric",-70.710000,-110.500000,180.000000,bottom
"R12","2K","R_0402_1005Metric",-77.216000,-54.610000,180.000000,bottom
"R13","10K","R_0402_1005Metric",-61.360000,-64.000000,180.000000,bottom
"R14","10K","R_0402_1005Metric",-61.214000,-71.770000,0.000000,bottom
"R15","2K","R_0402_1005Metric",-79.502000,-54.610000,0.000000,bottom
"R16","10K","R_0402_1005Metric",-81.280000,-56.896000,180.000000,bottom
"R17","10K","R_0402_1005Metric",-59.690000,-67.310000,180.000000,bottom
